dst	strategy
0844.frag	none
0845.frag	none
0846.frag	none
0847.frag	none
0848.frag	zoomex2
0849.frag	zoom
0850.frag	zoomex
0851.frag	zoomex
0852.frag	zoomex
0853.frag	zoom
0854.frag	zoomex
0855.frag	zoomex
0856.frag	zoom
0857.frag	zoomex2
0858.frag	zoomex2
0859.frag	zoomex
0860.frag	zoomex
0861.frag	zoom
0862.frag	zoomex2
0863.frag	zoomex2
0864.frag	zoomex2
0865.frag	zoomex2
0866.frag	zoomex
0867.frag	zoomex2
0868.frag	zoomex
0869.frag	rotzoomex2
0870.frag	zoomex2
0871.frag	zoom
0872.frag	zoom
0873.frag	zoom
0874.frag	zoom
0875.frag	zoomex2
0876.frag	zoom
0877.frag	zoomex
0878.frag	zoomex
0879.frag	zoomex2
0880.frag	zoom
0881.frag	zoomex2
0882.frag	zoom
0883.frag	zoomex2
0884.frag	zoomex2
0885.frag	zoomex2
0886.frag	zoom
0887.frag	zoomex
0888.frag	zoomex2
0889.frag	none
0890.frag	zoomex
0891.frag	zoom
0892.frag	none
0893.frag	zoom
0894.frag	zoom
0895.frag	zoomex
0896.frag	zoomex
0897.frag	zoomex2
0898.frag	zoomex
0899.frag	zoom
0900.frag	none
0901.frag	none
0902.frag	none
0903.frag	none
0904.frag	none
0905.frag	none
0906.frag	none
0907.frag	none
0908.frag	none
0909.frag	none
0910.frag	none
0911.frag	none
0912.frag	none
0913.frag	none
0914.frag	none
0915.frag	none
0916.frag	none
0917.frag	none
0918.frag	rot
0919.frag	none
0920.frag	none
0921.frag	none
0922.frag	none
0923.frag	none
0924.frag	none
0925.frag	none
0926.frag	none
0927.frag	none
0928.frag	none
0929.frag	none
0930.frag	none
0931.frag	zoom
0932.frag	none
0933.frag	none
0934.frag	none
0935.frag	none
0936.frag	none
0937.frag	none
0938.frag	none
0939.frag	none
0940.frag	none
0941.frag	none
0942.frag	none
0943.frag	none
0944.frag	none
0945.frag	none
0946.frag	none
0947.frag	none
0948.frag	none
0949.frag	none
0950.frag	zoom
0951.frag	none
0952.frag	none
0953.frag	rot
0954.frag	none
0955.frag	none
0956.frag	none
0957.frag	rot
0958.frag	none
0959.frag	none
0960.frag	zoom
0961.frag	none
0962.frag	none
0963.frag	rot
0964.frag	none
0965.frag	zoom
0966.frag	rot
0967.frag	none
0968.frag	none
0969.frag	none
0970.frag	none
0971.frag	none
0972.frag	none
0973.frag	rot
0974.frag	zoom
0975.frag	rot
0976.frag	none
0977.frag	none
0978.frag	rot
0979.frag	zoom
0980.frag	none
0981.frag	rot
0982.frag	none
0983.frag	rot
0984.frag	none
0985.frag	none
0986.frag	none
0987.frag	none
0988.frag	rot
0989.frag	none
0990.frag	none
0991.frag	none
0992.frag	none
0993.frag	none
0994.frag	rot
0995.frag	zoom
0996.frag	none
0997.frag	none
0998.frag	none
0999.frag	none
